WDCAS03CD,WDCAS03NM
44UEGS,Brailes
44UEGT,Burton Dassett
44UEGU,Claverdon
44UEGW,Ettington
44UEGX,Fenny Compton
44UEGY,Harbury
44UEGZ,Henley
44UEHA,Kineton
44UEHB,Kinwarton
44UEHC,Long Compton
44UEHD,Long Itchington
44UEHE,Quinton
44UEHF,Sambourne
44UEHG,Shipston
44UEHH,Snitterfield
44UEHJ,Southam
44UEHK,Stockton and Napton
44UEHL,Stratford Alveston
44UEHM,Stratford Avenue and New Town
44UEHN,Stratford Guild and Hathaway
44UEHP,Stratford Mount Pleasant
44UEHQ,Studley
44UEHR,Tanworth
44UEHS,Tredington
44UEHT,Vale of the Red Horse
44UEHU,Welford
44UEHW,Wellesbourne
44UFFX,Abbey
44UFFY,Bishop's Tachbrook
44UFFZ,Brunswick
44UFGA,Budbrooke
44UFGB,Clarendon
44UFGC,Crown
44UFGD,Cubbington
44UFGE,Lapworth
44UFGF,Leek Wootton
44UFGG,Manor
44UFGH,Milverton
44UFGJ,Park Hill
44UFGK,Radford Semele
44UFGL,St John's
44UFGM,Stoneleigh
44UFGN,Warwick North
44UFGP,Warwick South
44UFGQ,Warwick West
44UFGR,Whitnash
44UFGS,Willes
45UBFQ,Buckingham
45UBFR,Churchill
45UBFS,Cokeham
45UBFT,Eastbrook
45UBFU,Hillside
45UBFW,Manor
45UBFX,Marine
45UBFY,Mash Barn
45UBFZ,Peverel
45UBGA,St Mary's
45UBGB,St Nicolas
45UBGC,Southlands
45UBGD,Southwick Green
45UBGE,Widewater
45UCGE,Aldwick East
45UCGF,Aldwick West
45UCGG,Angmering
45UCGH,Arundel
45UCGJ,Barnham
45UCGK,Beach
45UCGL,Bersted
45UCGM,Brookfield
45UCGN,East Preston with Kingston
45UCGP,Felpham East
45UCGQ,Felpham West
45UCGR,Ferring
45UCGS,Findon
45UCGT,Ham
45UCGU,Hotham
45UCGW,Marine
45UCGX,Middleton-on-Sea
45UCGY,Orchard
45UCGZ,Pagham and Rose Green
45UCHA,Pevensey
45UCHB,River
45UCHC,Rustington East
45UCHD,Rustington West
45UCHE,Walberton
45UCHF,Wick with Toddington
45UCHG,Yapton
45UDGM,Bosham
45UDGN,Boxgrove
45UDGP,Bury
45UDGQ,Chichester East
45UDGR,Chichester North
45UDGS,Chichester South
45UDGT,Chichester West
45UDGU,Donnington
45UDGW,Easebourne
45UDGX,East Wittering
45UDGY,Fernhurst
45UDGZ,Fishbourne
45UDHA,Funtington
45UDHB,Harting
45UDHC,Lavant
45UDHD,Midhurst
45UDHE,North Mundham
45UDHF,Petworth
45UDHG,Plaistow
45UDHH,Rogate
45UDHJ,Selsey North
45UDHK,Selsey South
45UDHL,Sidlesham
45UDHM,Southbourne
45UDHN,Stedham
45UDHP,Tangmere
45UDHQ,West Wittering
45UDHR,Westbourne
45UDHS,Wisborough Green
45UEFP,Bewbush
45UEFQ,Broadfield North
45UEFR,Broadfield South
45UEFS,Furnace Green
45UEFT,Gossops Green
45UEFU,Ifield
45UEFW,Langley Green
45UEFX,Maidenbower
45UEFY,Northgate
45UEFZ,Pound Hill North
45UEGA,Pound Hill South and Worth
45UEGB,Southgate
45UEGC,Three Bridges
45UEGD,Tilgate
45UEGE,West Green
45UFGC,Billingshurst and Shipley
45UFGD,"Bramber, Upper Beeding and Woodmancote"
45UFGE,Broadbridge Heath
45UFGF,Chanctonbury
45UFGG,Chantry
45UFGH,"Cowfold, Shermanbury and West Grinstead"
45UFGJ,Denne
45UFGK,Forest
45UFGL,Henfield
45UFGM,Holbrook East
45UFGN,Holbrook West
45UFGP,Horsham Park
45UFGQ,"Itchingfield, Slinfold and Warnham"
45UFGR,Nuthurst
45UFGS,Pulborough and Coldwatham
45UFGT,Roffey North
45UFGU,Roffey South
45UFGW,Rudgwick
45UFGX,Rusper and Colgate
45UFGY,Southwater
45UFGZ,Steyning
45UFHA,Trafalgar
45UGGH,Ardingly and Balcombe
45UGGJ,Ashurst Wood
45UGGK,Bolney
45UGGL,Burgess Hill Dunstall
45UGGM,Burgess Hill Franklands
45UGGN,Burgess Hill Leylands
45UGGP,Burgess Hill Meeds
45UGGQ,Burgess Hill St Andrews
45UGGR,Burgess Hill Victoria
45UGGS,Copthorne and Worth
45UGGT,Crawley Down and Turners Hill
45UGGU,Cuckfield
45UGGW,East Grinstead Ashplats
45UGGX,East Grinstead Baldwins
45UGGY,East Grinstead Herontye
45UGGZ,East Grinstead Imberhorne
45UGHA,East Grinstead Town
45UGHB,Hassocks
45UGHC,Haywards Heath Ashenground
45UGHD,Haywards Heath Bentswood
45UGHE,Haywards Heath Franklands
45UGHF,Haywards Heath Heath
45UGHG,Haywards Heath Lucastes
45UGHH,High Weald
45UGHJ,Hurstpierpoint and Downs
45UGHK,Lindfield
45UHFN,Broadwater
45UHFP,Castle
45UHFQ,Central
45UHFR,Durrington
45UHFS,Gaisford
45UHFT,Goring
45UHFU,Heene
45UHFW,Marine
45UHFX,Northbrook
45UHFY,Offington
45UHFZ,Salvington
45UHGA,Selden
45UHGB,Tarring
46UBGJ,Aldbourne
46UBGK,All Cannings
46UBGL,Bedwyn
46UBGM,Bishops Cannings
46UBGN,Bromham and Rowde
46UBGP,Burbage
46UBGQ,Cheverell
46UBGR,Collingbourne
46UBGS,Devizes East
46UBGT,Devizes North
46UBGU,Devizes South
46UBGW,Lavingtons
46UBGX,Ludgershall
46UBGY,Marlborough East
46UBGZ,Marlborough West
46UBHA,Milton Lilbourne
46UBHB,Netheravon
46UBHC,Ogbourne
46UBHD,Pewsey
46UBHE,Pewsey Vale
46UBHF,Potterne
46UBHG,Ramsbury
46UBHH,Roundway
46UBHJ,Seend
46UBHK,Shalbourne
46UBHL,"Tidworth, Perham Down and Ludgershall South"
46UBHM,Upavon
46UBHN,Urchfont
46UBHP,West Selkley
46UCGW,Ashton Keynes and Minety
46UCGX,Box
46UCGY,Bremhill
46UCGZ,Brinkworth and The Somerfords
46UCHA,Calne Abberd
46UCHB,Calne Chilvester
46UCHC,Calne Lickhill
46UCHD,Calne Marden
46UCHE,Calne Priestley
46UCHF,Calne Quemerford
46UCHG,Calne Without
46UCHH,Cepen Park
46UCHJ,Chippenham Allington
46UCHK,Chippenham Audley
46UCHL,Chippenham Avon
46UCHM,Chippenham Hill Rise
46UCHN,Chippenham London Road
46UCHP,Chippenham Monkton Park
46UCHQ,Chippenham Park
46UCHR,Chippenham Pewsham
46UCHS,Chippenham Redland
46UCHT,Chippenham Westcroft/Queens
46UCHU,Colerne
46UCHW,Corsham
46UCHX,Cricklade
46UCHY,Hilmarton
46UCHZ,Kington Langley
46UCJA,Kington St. Michael
46UCJB,Lacock with Neston and Gastard
46UCJC,Lyneham
46UCJD,Malmesbury
46UCJE,Nettleton
46UCJF,Pickwick
46UCJG,Purton
46UCJH,St. Paul Malmesbury Without and Sherston
46UCJJ,The Lydiards and Broad Town
46UCJK,Wootton Bassett North
46UCJL,Wootton Bassett South
46UDGP,Alderbury and Whiteparish
46UDGQ,Amesbury East
46UDGR,Amesbury West
46UDGS,Bemerton
46UDGT,Bishopdown
46UDGU,Bulford
46UDGW,Chalke Valley
46UDGX,Donhead
46UDGY,Downton and Redlynch
46UDGZ,Durrington
46UDHA,Ebble
46UDHB,Fisherton and Bemerton Village
46UDHC,Fonthill and Nadder
46UDHD,Harnham East
46UDHE,Harnham West
46UDHF,Knoyle
46UDHG,Laverstock
46UDHH,Lower Wylye and Woodford Valley
46UDHJ,St Edmund and Milford
46UDHK,St Mark and Stratford
46UDHL,St Martin and Milford
46UDHM,St Paul
46UDHN,Till Valley and Wylye
46UDHP,Tisbury and Fovant
46UDHQ,"Upper Bourne, Idmiston and Winterbourne"
46UDHR,Western and Mere
46UDHS,Wilton
46UDHT,Winterslow
46UFGF,Atworth and Whitley
46UFGG,Bradford-on-Avon North
46UFGH,Bradford-on-Avon South
46UFGJ,Dilton Marsh
46UFGK,Ethandune
46UFGL,Holt
46UFGM,Manor Vale
46UFGN,Melksham North
46UFGP,Melksham Spa
46UFGQ,Melksham Without
46UFGR,Melksham Woodrow
46UFGS,Mid Wylye Valley
46UFGT,Paxcroft
46UFGU,Shearwater
46UFGW,Southwick and Wingfield
46UFGX,Summerham
46UFGY,Trowbridge Adcroft
46UFGZ,Trowbridge College
46UFHA,Trowbridge Drynham
46UFHB,Trowbridge John of Gaunt
46UFHC,Trowbridge Park
46UFHD,Warminster East
46UFHE,Warminster West
46UFHF,Westbury Ham
46UFHG,Westbury Laverton
47UBFY,Alvechurch
47UBFZ,Beacon
47UBGA,Catshill
47UBGB,Charford
47UBGC,Drakes Cross and Walkers Heath
47UBGD,Furlongs
47UBGE,Hagley
47UBGF,Hillside
47UBGG,Hollywood and Majors Green
47UBGH,Linthurst
47UBGJ,Marlbrook
47UBGK,Norton
47UBGL,St Johns
47UBGM,Sidemoor
47UBGN,Slideslow
47UBGP,Stoke Heath
47UBGQ,Stoke Prior
47UBGR,Tardebigge
47UBGS,Uffdown
47UBGT,Waseley
47UBGU,Whitford
47UBGW,Woodvale
47UBGX,Wythall South
47UCHQ,Alfrick and Leigh
47UCHR,Baldwin
47UCHS,Broadheath
47UCHT,Chase
47UCHU,Dyson Perrins
47UCHW,Hallow
47UCHX,Kempsey
47UCHY,Lindridge
47UCHZ,Link
47UCJA,Longdon
47UCJB,Martley
47UCJC,Morton
47UCJD,Pickersleigh
47UCJE,Powick
47UCJF,Priory
47UCJG,Ripple
47UCJH,Teme Valley
47UCJJ,Tenbury
47UCJK,Upton and Hanley
47UCJL,Wells
47UCJM,West
47UCJN,Woodbury
47UDFM,Abbey
47UDFN,Astwood Bank and Feckenham
47UDFP,Batchley
47UDFQ,Central
47UDFR,Church Hill
47UDFS,Crabbs Cross
47UDFT,Greenlands
47UDFU,Headless Cross and Oakenshaw
47UDFW,Lodge Park
47UDFX,Matchborough
47UDFY,West
47UDFZ,Winyates
47UEFN,Arboretum
47UEFP,Battenhall
47UEFQ,Bedwardine
47UEFR,Cathedral
47UEFS,Claines
47UEFT,Gorse Hill
47UEFU,Nunnery
47UEFW,Rainbow Hill
47UEFX,St Clement
47UEFY,St John
47UEFZ,St Peter's Parish
47UEGA,St Stephen
47UEGB,Warndon
47UEGC,Warndon Parish North
47UEGD,Warndon Parish South
47UFGP,Badsey
47UFGQ,Bengeworth
47UFGR,Bowbrook
47UFGS,Bredon
47UFGT,Bretforton and Offenham
47UFGU,Broadway and Wickhamford
47UFGW,Dodderhill
47UFGX,Drakes Broughton
47UFGY,Droitwich Central
47UFGZ,Droitwich East
47UFHA,Droitwich South East
47UFHB,Droitwich South West
47UFHC,Droitwich West
47UFHD,Eckington
47UFHE,Elmley Castle and Somerville
47UFHF,Evesham North
47UFHG,Evesham South
47UFHH,Fladbury
47UFHJ,Great Hampton
47UFHK,Hartlebury
47UFHL,Harvington and Norton
47UFHM,Honeybourne and Pebworth
47UFHN,Inkberrow
47UFHP,Little Hampton
47UFHQ,Lovett and North Claines
47UFHR,Norton and Whittington
47UFHS,Ombersley
47UFHT,Pershore
47UFHU,Pinvin
47UFHW,South Bredon Hill
47UFHX,The Littletons
47UFHY,Upton Snodsbury
47UGFU,Aggborough and Spennells
47UGFW,Areley Kings
47UGFX,Bewdley and Arley
47UGFY,Blakedown and Chaddesley
47UGFZ,Broadwaters
47UGGA,Cookley
47UGGB,Franche
47UGGC,Greenhill
47UGGD,Habberley and Blakebrook
47UGGE,Lickhill
47UGGF,Mitton
47UGGG,Offmore and Comberton
47UGGH,Oldington and Foley Park
47UGGJ,Rock
47UGGK,Sutton Park
47UGGL,Wolverley
47UGGM,Wribbenhall
01C01,Pitmedden
01C02,Bankhead/Stoneywood
01C03,Danestone
01C04,Jesmond
01C05,Oldmachar
01C06,Bridge of Don
01C07,Donmouth
01C08,Newhills
01C09,Auchmill
01C10,Cummings Park
01C11,Springhill
01C12,Mastrick
01C13,Sheddocksley
01C14,Summerhill
01C15,Hilton
01C16,Woodside
01C17,St. Machar
01C18,Seaton
01C19,Kittybrewster
01C20,Stockethill
01C21,Berryden
01C22,Sunnybank
01C23,Pittodrie
01C24,Midstocket
01C25,Queens Cross
01C26,Gilcomston
01C27,Langstane
01C28,Castlehill
01C29,Hazlehead
01C30,Peterculter
01C31,Murtle
01C32,Cults
01C33,Seafield
01C34,Ashley
01C35,Broomhill
01C36,Garthdee
01C37,Gairn
01C38,Duthie
01C39,Torry
01C40,Tullos Hill
01C41,Kincorth West
01C42,Nigg
01C43,Loirston
02C01,Durn
02C02,Banff West and Boyndie
02C03,Banff
02C04,Aberchirder
02C05,Macduff
02C06,Gamrie-King Edward
02C07,Buchan North
02C08,Fraserburgh West
02C09,Fraserburgh North
02C10,Fraserburgh East
02C11,Fraserburgh South
02C12,Buchan North East
02C13,South Buchan
02C14,Central Buchan
02C15,Lonmay and St Fergus
02C16,Mintlaw-Old Deer
02C17,Mintlaw-Longside
02C18,Boddam-Inverugie
02C19,Blackhouse
02C20,Buchanhaven
02C21,Peterhead Central-Roanheads
02C22,Clerkhill
02C23,Dales-Towerhill
02C24,Cruden
02C25,Turriff West
02C26,Turriff East
02C27,Upper Ythan
02C28,Fyvie-Methlick
02C29,Tarves
02C30,Ythan
02C31,Ellon Town
02C32,Logie Buchan
02C33,Meldrum
02C34,Udny-Slains
02C35,Belhelvie
02C36,Insch
02C37,Chapel and Gadie
02C38,Inverurie North
02C39,Inverurie Central
02C40,Inverurie South and Port Elphinstone
02C41,Kintore and Keithhall
02C42,Newmachar and Fintray
02C43,Kemnay
02C44,Echt
02C45,Kinellar and Westhill North
02C46,Westhill Central
02C47,Elrick
02C48,Huntly West
02C49,Huntly East
02C50,Strathbogie
02C51,Donside and Cromar
02C52,Alford
02C53,Upper Deeside
02C54,Aboyne
02C55,Mid Deeside
02C56,Banchory West
02C57,Banchory East and Crathes
02C58,Lower Deeside
02C59,Portlethen North
02C60,Portlethen South
02C61,"Newtonhill, Muchalls and Cammachmore"
02C62,Stonehaven North and Fetteresso
02C63,Stonehaven Central
02C64,Stonehaven South
02C65,Mearns North
02C66,Mearns Central
02C67,"Inverbervie, Gourdon and Johnshaven"
02C68,Mearns South
03C01,Kirriemuir West
03C02,Kirriemuir East
03C03,Brechin West
03C04,Brechin North Esk
03C05,Westfield and Dean
03C06,Forfar West
03C07,Forfar Central
03C08,Forfar East
03C09,Brechin South Esk
03C10,Montrose Ferryden
03C11,Montrose Central
03C12,Montrose West
03C13,Montrose Hillside
03C14,Forfar South
03C15,Letham and Friockheim
03C16,Sidlaw West
03C17,Sidlaw East and Ashludie
03C18,Monifieth West
03C19,Monifieth Central
03C20,Carnoustie West
03C21,Carnoustie Central
03C22,Carnoustie East
03C23,Arbirlot and Hospitalfield
03C24,Keptie
03C25,Arbroath North
03C26,Brothock
03C27,Hayshead and Lunan
03C28,Harbour
03C29,Cliffburn
04C01,South Kintyre
04C02,Campbeltown Central
04C03,East Central Kintyre
04C04,North and West Kintyre
04C05,Knapdale
04C06,Lochgilphead
04C07,Craignish - Glenaray
04C08,"Islay North, Jura and Colonsay"
04C09,Islay South
04C10,Awe
04C11,Oban North
04C12,Oban Central
04C13,Oban South
04C14,Ardconnel - Kilmore
04C15,North Lorn
04C16,Mull
04C17,Tiree and Coll
04C18,Bute North
04C19,Bute Central
04C20,Bute South
04C21,East Lochfyne
04C22,Kirn and Hunter's Quay
04C23,Ardenslate
04C24,Milton
04C25,Auchamore and Innellan
04C26,Holy Loch
04C27,Helensburgh East
04C28,East Central Helensburgh
04C29,Helensburgh Central
04C30,Helensburgh North
04C31,Helensburgh West
04C32,West Helensburgh and Rhu
04C33,Garelochhead and Cove
04C34,"Arrochar, Luss, Arden and Ardenconnel"
04C35,"Roseneath, Clynder and Kilcreggan"
04C36,Cardross
05C01,Eyemouth and District South
05C02,Chirnside and District
05C03,Coldstream and District
05C04,Duns and District South
05C05,Duns and District North
05C06,Eyemouth and District North
05C07,Kelso and District North
05C08,Kelso Central
05C09,Kelso and District South
05C10,Jedburgh and District East
05C11,Jedburgh and District West
05C12,Hermitage
05C13,Burnfoot and Mansfield
05C14,Silverbuthall
05C15,Weensland
05C16,Teviot and Central
05C17,Wilton
05C18,Galawater and Lauderdale
05C19,"Earlston, Gordon and District"
05C20,Melrose and District
05C21,Scott's View
05C22,Alewater and Denholm
05C23,Old Selkirk
05C24,Forest
05C25,Netherdale
05C26,Lower Langlee and Tweedbank
05C27,Upper Langlee and Ladhope
05C28,Kilnknowe and Clovenfords
05C29,Mossilee and Central
05C30,Innerleithen and Walkerburn
05C31,Peebles and District South
05C32,Peebles and District East
05C33,Peebles and Upper Tweed
05C34,West Linton and District
06C01,Menstrie
06C02,Alva North
06C03,Alva South
06C04,Tillicoultry West
06C05,Tillicoultry East
06C06,Dollar and Muckhart
06C07,Devon and Clackmannan North
06C08,Clackmannan
06C09,Gartmorn
06C10,Alloa North
06C11,Alloa East
06C12,Alloa Mar
06C13,Alloa West
06C14,Alloa Claremont
06C15,Fairfield
06C16,Muirside
06C17,St Serf's
06C18,Delph and Cambus
07C01,Whitecrook
07C02,Dalmuir/Central
07C03,Mountblow
07C04,Parkhall
07C05,Linnvale/Drumry
07C06,Kilbowie
07C07,Kilbowie West
07C08,Faifley
07C09,Hardgate
07C10,Duntocher
07C11,Bowling/Milton/Old Kilpatrick
07C12,Dumbarton East
07C13,Barloan/Overtoun
07C14,Dumbarton North
07C15,Dumbarton Central
07C16,Dumbarton West
07C17,Renton/Alexandria South
07C18,Alexandria North/Tullichewan
07C19,Balloch
07C20,Haldane/Kilmaronock/Jamestown
07C21,Bonhill East
07C22,Riverside
08C01,Rhins South
08C02,Rhins North
08C03,Stranraer North
08C04,Stranraer South
08C05,Stranraer East
08C06,Luce
08C07,Whithorn
08C08,Wigtown
08C09,Cree
08C10,Stewartry West
08C11,Kirkcudbright - Tarff
08C12,Kirkcudbright - Bengairn
08C13,Stewartry North
08C14,Castle Douglas - Dee
08C15,Castle Douglas - Urr
08C16,Dalbeattie - Craignair
08C17,Dalbeattie - Milton
08C18,Criffel
08C19,Cairn Valley
08C20,Sanquhar and District
08C21,Kirkconnel
08C22,Mid Nithsdale
08C23,Lincluden
08C24,Lochside
08C25,Palmerston
08C26,Maxwelltown
08C27,Troqueer
08C28,Loreburn
08C29,Marchmount
08C30,Lochar
08C31,Heathhall
08C32,Nithsdale East
08C33,Georgetown
08C34,Lochvale
08C35,Caerlaverock
08C36,Hoddom and Kinmount
08C37,Annan West
08C38,Annan Central
08C39,Annan East
08C40,Chapelcross
08C41,Solway Border
08C42,Canonbie and Kirtle
08C43,Langholm and Upper Eskdale
08C44,Dryfe and Lockerbie East
08C45,Lockerbie and Upper Annandale
08C46,Lochmaben
08C47,Moffat
09C01,Ninewells
09C02,Camperdown
09C03,Balgay
09C04,Lochee West
09C05,Riverside
09C06,Brackens
09C07,Ardler
09C08,Balgowan
09C09,Claverhouse
09C10,Whitfield
09C11,Longhaugh
09C12,Pitkerro
09C13,Douglas
09C14,Barnhill
09C15,Balgillo
09C16,Broughty Ferry
09C17,West Ferry
09C18,Craigiebank
09C19,Strathmartine
09C20,Lochee East
09C21,Tay Bridges
09C22,Logie
09C23,Law
09C24,East Port
09C25,Baxter Park
09C26,Hilltown
09C27,Bowbridge
09C28,Stobswell
09C29,Fairmuir
10C01,Stewarton East and Dunlop
10C02,Stewarton Central
10C03,Kilmaurs and Stewarton South
10C04,"North Kilmarnock, Fenwick and Waterside"
10C05,"Crosshouse, Gatehead and Knockentiber"
10C06,"Altonhill, Hillhead and Longpark"
10C07,Onthank
10C08,Kilmarnock Central West
10C09,Kilmarnock Central East
10C10,North New Farm Loch and Dean
10C11,South New Farm Loch
10C12,"Crookedholm, Moscow, Galston West and Hurlford North"
10C13,Newmilns
10C14,Grange/Howard
10C15,Kilmarnock Central South
10C16,Riccarton
10C17,Shortlees
10C18,Bellfield
10C19,Hurlford
10C20,Galston East
10C21,Darvel
10C22,Mauchline
10C23,"Catrine, Sorn and Mauchline East"
10C24,"Muirkirk, Lugar, Logan"
10C25,"Drongan, Stair and Rankinston"
10C26,"Ochiltree, Skares, Netherthird and Craigens"
10C27,Auchinleck
10C28,Cumnock West
10C29,Cumnock East
10C30,Patna and Dalrymple
10C31,Dalmellington
10C32,New Cumnock
11C01,Barloch
11C02,Clober
11C03,Keystone
11C04,Baljaffray/Mosshead
11C05,Bearsden
11C06,Castlehill/Thorn
11C07,Chapelton
11C08,Westerton
11C09,Kessington
11C10,West Kirkintilloch and Torrance
11C11,Hillhead and Broomhill
11C12,Rosebank and Waterside
11C13,East Harestanes and Twechar
11C14,Kirkintilloch Central
11C15,Lenzie
11C16,South Lenzie
11C17,Campsie
11C18,Milton
11C19,Kenmure and Baldernock
11C20,Balmuildy and Park
11C21,Cadder/Langbrae
11C22,Auchinairn and Crowhill
11C23,Woodhill West
11C24,Woodhill East
12C01,Musselburgh West
12C02,Musselburgh South
12C03,Musselburgh North
12C04,Musselburgh Central
12C05,Musselburgh East
12C06,Wallyford/Whitecraig
12C07,Prestonpans West
12C08,Prestonpans East
12C09,Cockenzie and Port Seton
12C10,Longniddry
12C11,Tranent West
12C12,Tranent/Macmerry
12C13,Tranent/Elphinstone
12C14,Ormiston/Pencaitland
12C15,Aberlady/Gullane/Dirleton
12C16,Haddington West/Saltoun
12C17,Haddington Central
12C18,Haddington East/Athelstaneford
12C19,East Linton/Gifford
12C20,North Berwick West
12C21,North Berwick East
12C22,Dunbar/West Barns
12C23,Dunbar East
13C01,Liboside
13C02,Barrhead North
13C03,North Neilston and West Arthurlie
13C04,Barrhead Central
13C05,Barrhead East
13C06,Auchenback
13C07,Greenfarm
13C08,Thornliebank
13C09,Giffnock North
13C10,Merrylea Park
13C11,Netherlee
13C12,Crookfur
13C13,Giffnock South
13C14,Stamperland
13C15,Broom
13C16,Kirkhill
13C17,Clarkston
13C18,Busby
13C19,Mearns
13C20,Eaglesham
14C01,Balerno
14C02,Baberton
14C03,Dalmeny/Kirkliston
14C04,Queensferry
14C05,Cramond
14C06,Davidson's Mains
14C07,Muirhouse/Drylaw
14C08,Craigleith
14C09,Pilton
14C10,Granton
14C11,Trinity
14C12,Newhaven
14C13,East Craigs
14C14,N.E. Corstorphine
14C15,Murrayfield
14C16,Dean
14C17,Stockbridge
14C18,New Town
14C19,Broughton
14C20,Calton
14C21,Harbour
14C22,Lorne
14C23,Gyle
14C24,S.E. Corstorphine
14C25,Parkhead
14C26,Craiglockhart
14C27,Stenhouse
14C28,Moat
14C29,Shandon
14C30,Dalry
14C31,Fountainbridge
14C32,Tollcross
14C33,Southside
14C34,Holyrood
14C35,Meadowbank
14C36,Mountcastle
14C37,Leith Links
14C38,Restalrig
14C39,Portobello
14C40,Milton
14C41,Murray Burn
14C42,Sighthill
14C43,Colinton
14C44,Firrhill
14C45,Merchiston
14C46,North Morningside/Grange
14C47,Marchmont
14C48,Sciennes
14C49,Newington
14C50,Prestonfield
14C51,South Morningside
14C52,Fairmilehead
14C53,Alnwickhill
14C54,Kaimes
14C55,Moredun
14C56,Gilmerton
14C57,Craigmillar
14C58,Duddingston
15C01,Camelon
15C02,Summerford
15C03,Woodlands
15C04,Town Centre
15C05,Hall Glen
15C06,Dawson
15C07,Grahamsford
15C08,Middlefield
15C09,Zetland
15C10,Beancross
15C11,Inchyra
15C12,Dundas/Kerse
15C13,Grange and Blackness
15C14,Dean
15C15,Borrowstoun
15C16,Kinneil and Whitecross
15C17,Forthside
15C18,Kinnaird
15C19,Carrongrange
15C20,Tryst
15C21,Larbert
15C22,Herbertshire
15C23,Denny
15C24,Denny South
15C25,Bonnybridge
15C26,Banknock
15C27,Laurieston
15C28,Polmont
15C29,Redding and Westquarter
15C30,Darnrig
15C31,"Reddingmuirhead, Brightons and Rumford"
15C32,Avon
16C01,"Kincardine, Culross and Low Valleyfield"
16C02,"Blairhall, High Valleyfield and Torryburn"
16C03,"Oakley, Saline and Steelend"
16C04,"Cairneyhill, Carnock and Milesmark"
16C05,Crossford and Dunfermline Central
16C06,Baldridgeburn
16C07,Wellwood and Headwell
16C08,Townhill and Bellyeoman
16C09,Garvock and Carnegie
16C10,"Halbeath, Hill of Beath and Kingseat"
16C11,Woodmill
16C12,Linburn
16C13,Brucefield and Nethertown
16C14,Pitcorthie
16C15,Limekilns and Pitreavie
16C16,Rosyth West
16C17,Rosyth East
16C18,Inverkeithing West and Rosyth South
16C19,Inverkeithing East and North Queensferry
16C20,Dalgety Bay West and Hillend
16C21,Dalgety Bay East
16C22,Crossgates and Mossside
16C23,Cowdenbeath Central
16C24,Oakfield and Cowdenbeath North
16C25,Kelty
16C26,Ballingry and Lochore
16C27,Crosshill and Lochgelly North
16C28,Lumphinnans and Lochgelly South
16C29,Aberdour and Burntisland West
16C30,Auchtertool and Burntisland East
16C31,Kinghorn and Invertiel
16C32,Linktown and Kirkcaldy Central
16C33,Raith and Longbraes
16C34,Bennochy and Valley
16C35,Templehall East
16C36,Templehall West
16C37,"Cardenden, Cluny and Chapel"
16C38,"Kinglassie, Bowhill and Dundonald"
16C39,Dunnikier
16C40,Hayfield and Balsusney
16C41,Smeaton and Overton
16C42,"Glebe Park, Pathhead and Sinclairtown"
16C43,Dysart and Gallatown
16C44,Wemyss and Muiredge
16C45,Buckhaven and Denbeath
16C46,Methilhill
16C47,Methil
16C48,Leven East
16C49,Leven West and Kirkland
16C50,Kennoway
16C51,"Windygates, Star and Balgonie"
16C52,Markinch and Woodside East
16C53,Auchmuty and Woodside West
16C54,Pitteuchar and Finglassie North
16C55,"Thornton, Stenton and Finglassie South"
16C56,Caskieberran and Rimbleton
16C57,Newcastle and Tanshall
16C58,South Parks and Macedonia
16C59,Leslie and Whinnyknowe
16C60,Balgeddie and Collydean
16C61,"Cadham, Pitcoudie and Balfarg"
16C62,"Falkland, Freuchie and Strathmiglo"
16C63,Auchtermuchty and Ladybank
16C64,"Kettle, Springfield and Ceres"
16C65,Cupar South
16C66,Cupar North
16C67,Newburgh and Tay Coast
16C68,Newport-on-Tay and Wormit
16C69,Tayport and Motray
16C70,"Leuchars, Balmullo and Guardbridge"
16C71,Strathkinness and St Andrews West
16C72,St Andrews Central
16C73,St Andrews South
16C74,St Andrews South East
16C75,"Crail, Cameron and Kemback"
16C76,Anstruther and East Neuk Landward
16C77,"Elie, St Monans and Pittenweem"
16C78,Largo
17C01,Drumry
17C02,Summerhill
17C03,Blairdardie
17C04,Knightswood Park
17C05,Knightswood South
17C06,Yoker
17C07,Anniesland
17C08,Jordanhill
17C09,Kelvindale
17C10,Scotstoun
17C11,Victoria Park
17C12,Hayburn
17C13,Hyndland
17C14,Hillhead
17C15,Partick
17C16,Kelvingrove
17C17,Anderston
17C18,Woodlands
17C19,North Kelvin
17C20,Wyndford
17C21,Maryhill
17C22,Summerston
17C23,Milton
17C24,Ashfield
17C25,Firhill
17C26,Keppochhill
17C27,Merchant City
17C28,Royston
17C29,Cowlairs
17C30,Springburn
17C31,Wallacewell
17C32,Milnbank
17C33,Dennistoun
17C34,Calton
17C35,Bridgeton/Dalmarnock
17C36,Parkhead
17C37,Carntyne
17C38,Robroyston
17C39,Gartcraig
17C40,Queenslie
17C41,Greenfield
17C42,Barlanark
17C43,Shettleston
17C44,Tollcross Park
17C45,Braidfauld
17C46,Mount Vernon
17C47,Baillieston
17C48,Garrowhill
17C49,Garthamlock
17C50,Easterhouse
17C51,Drumoyne
17C52,Govan
17C53,Ibrox
17C54,Kingston
17C55,Mosspark
17C56,North Cardonald
17C57,Penilee
17C58,Cardonald
17C59,Pollok
17C60,Crookston
17C61,Nitshill
17C62,Darnley
17C63,Carnwadric
17C64,Maxwell Park
17C65,Pollokshields East
17C66,Hutchesontown
17C67,Govanhill
17C68,Strathbungo
17C69,Battlefield
