WDSTL05CD,WDSTL05NM
33UDGM,St Andrews
33UDGN,Southtown and Cobholm
33UDGP,West Flegg
33UDGQ,Yarmouth North
33UEGT,Airfield
33UEGU,Brancaster
33UEGW,Burnham
33UEGX,Clenchwarton
33UEGY,Denton
33UEGZ,Dersingham
33UEHA,Docking
33UEHB,Downham Old Town
33UEHC,East Downham
33UEHD,Emneth with Outwell
33UEHE,Fairstead
33UEHF,Gayton
33UEHG,Gaywood Chase
33UEHH,Gaywood North Bank
33UEHJ,Grimston
33UEHK,Heacham
33UEHL,Hilgay with Denver
33UEHM,Hunstanton
33UEHN,Mershe Lande
33UEHP,North Downham
33UEHQ,North Lynn
33UEHR,North Wootton
33UEHS,Old Gaywood
33UEHT,Priory
33UEHU,Rudham
33UEHW,St Lawrence
33UEHX,St Margarets with St Nicholas
33UEHY,Snettisham
33UEHZ,South and West Lynn
33UEJA,South Downham
33UEJB,South Wootton
33UEJC,Spellowfields
33UEJD,Springwood
33UEJE,Upwell and Delph
33UEJF,Valley Hill
33UEJG,Walpole
33UEJH,Walton
33UEJJ,Watlington
33UEJK,West Winch
33UEJL,Wiggenhall
33UEJM,Wimbotsham with Fincham
33UEJN,Wissey
33UFGP,Astley
33UFGQ,Briston
33UFGR,Chaucer
33UFGS,Corpusty
33UFGT,Cromer Town
33UFGU,Erpingham
33UFGW,Gaunt
33UFGX,Glaven Valley
33UFGY,Happisburgh
33UFGZ,High Heath
33UFHA,Holt
33UFHB,Hoveton
33UFHC,Lancaster North
33UFHD,Lancaster South
33UFHE,Mundesley
33UFHF,North Walsham East
33UFHG,North Walsham North
33UFHH,North Walsham West
33UFHJ,Poppyland
33UFHK,Priory
33UFHL,Roughton
33UFHM,Scottow
33UFHN,St Benet
33UFHP,Sheringham North
33UFHQ,Sheringham South
33UFHR,Stalham and Sutton
33UFHS,Suffield Park
33UFHT,The Raynhams
33UFHU,The Runtons
33UFHW,Walsingham
33UFHX,Waterside
33UFHY,Waxham
33UFHZ,Wensum
33UFJA,Worstead
33UGFS,Bowthorpe
33UGFT,Catton Grove
33UGFU,Crome
33UGFW,Eaton
33UGFX,Lakenham
33UGFY,Mancroft
33UGFZ,Mile Cross
33UGGA,Nelson
33UGGB,Sewell
33UGGC,Thorpe Hamlet
33UGGD,Town Close
33UGGE,University
33UGGF,Wensum
33UHGU,Abbey
33UHGW,Beck Vale
33UHGX,Bressingham and Burston
33UHGY,Brooke
33UHGZ,Bunwell
33UHHA,Chedgrave and Thurton
33UHHB,Cringleford
33UHHC,Cromwells
33UHHD,Dickleburgh
33UHHE,Diss
33UHHF,Ditchingham and Broome
33UHHG,Earsham
33UHHH,Easton
33UHHJ,Forncett
33UHHK,Gillingham
33UHHL,Harleston
33UHHM,Hempnall
33UHHN,Hethersett
33UHHP,Hingham and Deopham
33UHHQ,Loddon
33UHHR,Mulbarton
33UHHS,New Costessey
33UHHT,Newton Flotman
33UHHU,Northfields
33UHHW,Old Costessey
33UHHX,Poringland with the Framinghams
33UHHY,Rockland
33UHHZ,Roydon
33UHJA,Rustens
33UHJB,Scole
33UHJC,Stoke Holy Cross
33UHJD,Stratton
33UHJE,Tasburgh
33UHJF,Thurlton
33UHJG,Town
33UHJH,Wicklewood
34UBFN,Central
34UBFP,Danesholme
34UBFQ,East
34UBFR,Hazelwood
34UBFS,Hillside
34UBFT,Kingswood
34UBFU,Lloyds
34UBFW,Lodge Park
34UBFX,Rural East
34UBFY,Rural North
34UBFZ,Rural West
34UBGA,Shire Lodge
34UBGB,West
34UCGD,Abbey North
34UCGE,Abbey South
34UCGF,Badby
34UCGG,Barby and Kilsby
34UCGH,Boughton and Pitsford
34UCGJ,Brampton
34UCGK,Braunston
34UCGL,Brixworth
34UCGM,Byfield
34UCGN,Clipston
34UCGP,Crick
34UCGQ,Drayton
34UCGR,Flore
34UCGS,Hill
34UCGT,Long Buckby
34UCGU,Moulton
34UCGW,Ravensthorpe
34UCGX,Spratton
34UCGY,Walgrave
34UCGZ,Weedon
34UCHA,Welford
34UCHB,West Haddon and Guilsborough
34UCHC,Woodford
34UCHD,Yelvertoft
34UDFX,Barnwell
34UDFY,Dryden
34UDFZ,Fineshade
34UDGA,Higham Ferrers
34UDGB,Irthlingborough
34UDGC,King's Forest
34UDGD,Lower Nene
34UDGE,Lyveden
34UDGF,Oundle
34UDGG,Prebendal
34UDGH,Raunds Saxon
34UDGJ,Raunds Windmill
34UDGK,Ringstead
34UDGL,Rushden East
34UDGM,Rushden North
34UDGN,Rushden South
34UDGP,Rushden West
34UDGQ,Stanwick
34UDGR,Thrapston
34UDGS,Woodford
34UEFZ,All Saints
34UEGA,Avondale
34UEGB,Barton
34UEGC,Brambleside
34UEGD,Buccleuch
34UEGE,Latimer
34UEGF,Loatland
34UEGG,Millbrook
34UEGH,Pipers Hill
34UEGJ,Plessy
34UEGK,Queen Eleanor
34UEGL,St Andrew's
34UEGM,St Giles
34UEGN,St Mary's
34UEGP,St Michael's
34UEGQ,St Peter's
34UEGR,Slade
34UEGS,Spinney
34UEGT,Tresham
34UEGU,Trinity
34UEGW,Warkton
34UEGX,Welland
34UEGY,Wicksteed
34UFFY,Abington
34UFFZ,Billing
34UFGA,Boughton Green
34UFGB,Castle
34UFGC,Delapre
34UFGD,East Hunsbury
34UFGE,Eastfield
34UFGF,Ecton Brook
34UFGG,Headlands
34UFGH,Kingsley
34UFGJ,Kingsthorpe
34UFGK,Lumbertubs
34UFGL,Nene Valley
34UFGM,New Duston
34UFGN,Old Duston
34UFGP,Parklands
34UFGQ,St Crispin
34UFGR,St David
34UFGS,St James
34UFGT,Spencer
34UFGU,Thorplands
34UFGW,West Hunsbury
34UFGX,Weston
34UGGK,Astwell
34UGGL,Blakesley
34UGGM,Blisworth
34UGGN,Brackley East
34UGGP,Brackley South
34UGGQ,Brackley West
34UGGR,Chase
34UGGS,Cogenhoe
34UGGT,Cosgrove
34UGGU,Cote
34UGGW,Courteenhall
34UGGX,Deanshanger
34UGGY,Downs
34UGGZ,Grafton
34UGHA,Grange
34UGHB,Harpole
34UGHC,Heyford
34UGHD,Kings Sutton
34UGHE,Kingthorn
34UGHF,Little Brook
34UGHG,Middleton Cheney
34UGHH,Salcey
34UGHJ,Silverstone
34UGHK,Steane
34UGHL,Tove
34UGHM,Towcester Brook
34UGHN,Towcester Mill
34UGHP,Wardoun
34UGHQ,Washington
34UGHR,Whittlewood
34UGHS,Yardley
34UHFR,Brickhill
34UHFS,Castle
34UHFT,Croyland
34UHFU,Earls Barton
34UHFW,Finedon
34UHFX,Great Doddington and Wilby
34UHFY,Hemmingwell
34UHFZ,Irchester
34UHGA,North
34UHGB,Queensway
34UHGC,Redwell East
34UHGD,Redwell West
34UHGE,South
34UHGF,Swanspool
34UHGG,West
34UHGH,Wollaston
35UBFT,Alnmouth and Lesbury
35UBFU,Alnwick Castle
35UBFW,Alnwick Clayport
35UBFX,Alnwick Hotspur
35UBFY,Amble Central
35UBFZ,Amble East
35UBGA,Amble West
35UBGB,Embleton
35UBGC,Harbottle and Elsdon
35UBGD,Hedgeley
35UBGE,Longframlington
35UBGF,Longhoughton with Craster and Rennington
35UBGG,Rothbury and South Rural
35UBGH,Shilbottle
35UBGJ,Warkworth
35UBGK,Whittingham
35UCFS,Bamburgh
35UCFT,Beadnell
35UCFU,Belford
35UCFW,Cheviot
35UCFX,Edward
35UCFY,Elizabeth
35UCFZ,Flodden
35UCGA,Ford
35UCGB,Islandshire
35UCGC,Lowick
35UCGD,Norhamshire
35UCGE,North Sunderland
35UCGF,Prior
35UCGG,Seton
35UCGH,Shielfield
35UCGJ,Spittal
35UCGK,Wooler
35UDGN,Cowpen
35UDGP,Cramlington East
35UDGQ,Cramlington Eastfield with East Hartford
35UDGR,Cramlington North
35UDGS,Cramlington Parkside
35UDGT,Cramlington South East
35UDGU,Cramlington Village
35UDGW,Cramlington West
35UDGX,Croft
35UDGY,Hartley
35UDGZ,Holywell
35UDHA,Isabella
35UDHB,Kitty Brewster
35UDHC,Newsham and New Delaval
35UDHD,Plessey
35UDHE,Seaton Delaval
35UDHF,Seghill
35UDHG,South Beach
35UDHH,South Newsham
35UDHJ,Wensleydale
35UEFY,Chevington
35UEFZ,Ellington
35UEGA,Hartburn
35UEGB,"Hebron, Hepscott and Mitford"
35UEGC,Heddon-on-the-Wall
35UEGD,Longhorsley
35UEGE,Lynemouth
35UEGF,Morpeth Central
35UEGG,Morpeth Kirkhill
35UEGH,Morpeth North
35UEGJ,Morpeth South
35UEGK,Morpeth Stobhill
35UEGL,Pegswood
35UEGM,Ponteland East
35UEGN,Ponteland North
35UEGP,Ponteland South
35UEGQ,Ponteland West
35UEGR,Stamfordham
35UEGS,Stannington
35UEGT,Ulgham
35UFGK,Acomb
35UFGL,Allendale
35UFGM,Bellingham
35UFGN,Broomhaugh and Riding
35UFGP,Chollerton with Whittington
35UFGQ,Corbridge
35UFGR,East Tynedale
35UFGS,Hadrian
35UFGT,Haltwhistle
35UFGU,Haydon
35UFGW,Hexham Gilesgate
35UFGX,Hexham Hencotes
35UFGY,Hexham Leazes
35UFGZ,Hexham Priestpopple
35UFHA,Humshaugh and Wall
35UFHB,Ovingham
35UFHC,Prudhoe Castle
35UFHD,Prudhoe North
35UFHE,Prudhoe South
35UFHF,Prudhoe West
35UFHG,Redesdale
35UFHH,Sandhoe with Dilston
35UFHJ,Slaley and Hexhamshire
35UFHK,South Tynedale
35UFHL,Stocksfield with Mickley
35UFHM,Upper North Tyne
35UFHN,Wanney
35UFHP,Warden and Newbrough
35UFHQ,Wark
35UFHR,West Tynedale
35UFHS,Wylam
35UGFS,Bedlington Central
35UGFT,Bedlington East
35UGFU,Bedlington West
35UGFW,Bothal
35UGFX,Central
35UGFY,Choppington
35UGFZ,College
35UGGA,Guide Post
35UGGB,Haydon
35UGGC,Hirst
35UGGD,Newbiggin East
35UGGE,Newbiggin West
35UGGF,Park
35UGGG,Seaton
35UGGH,Sleekburn
35UGGJ,Stakeford
36UBGB,Aire Valley with Lothersdale
36UBGC,Barden Fell
36UBGD,Bentham
36UBGE,Cowling
36UBGF,Embsay-with-Eastby
36UBGG,Gargrave and Malhamdale
36UBGH,Glusburn
36UBGJ,Grassington
36UBGK,Hellifield and Long Preston
36UBGL,Ingleton and Clapham
36UBGM,Penyghent
36UBGN,Settle and Ribblebanks
36UBGP,Skipton East
36UBGQ,Skipton North
36UBGR,Skipton South
36UBGS,Skipton West
36UBGT,Sutton-in-Craven
36UBGU,Upper Wharfedale
36UBGW,West Craven
36UCGM,Bedale
36UCGN,Brompton
36UCGP,Broughton and Greenhow
36UCGQ,Cowtons
36UCGR,Crakehall
36UCGS,Easingwold
36UCGT,Great Ayton
36UCGU,Helperby
36UCGW,Huby and Sutton
36UCGX,Leeming
36UCGY,Leeming Bar
36UCGZ,Morton-on-Swale
36UCHA,Northallerton Broomfield
36UCHB,Northallerton Central
36UCHC,Northallerton North
36UCHD,Osmotherley
36UCHE,Romanby
36UCHF,Rudby
36UCHG,Shipton
36UCHH,Sowerby
36UCHJ,Stillington
36UCHK,Stokesley
36UCHL,Swainby
36UCHM,Tanfield
36UCHN,Thirsk
36UCHP,Thorntons
36UCHQ,Tollerton
36UCHR,Topcliffe
36UCHS,White Horse
36UCHT,Whitestonecliffe
36UDGL,Bilton
36UDGM,Bishop Monkton
36UDGN,Boroughbridge
36UDGP,Claro
36UDGQ,Granby
36UDGR,Harlow Moor
36UDGS,High Harrogate
36UDGT,Hookstone
36UDGU,Killinghall
36UDGW,Kirkby Malzeard
36UDGX,Knaresborough East
36UDGY,Knaresborough King James
36UDGZ,Knaresborough Scriven Park
36UDHA,Low Harrogate
36UDHB,Lower Nidderdale
36UDHC,Marston Moor
36UDHD,Mashamshire
36UDHE,Newby
36UDHF,New Park
36UDHG,Nidd Valley
36UDHH,Ouseburn
36UDHJ,Pannal
36UDHK,Pateley Bridge
36UDHL,Ribston
36UDHM,Ripon Minster
36UDHN,Ripon Moorside
36UDHP,Ripon Spa
36UDHQ,Rossett
36UDHR,Saltergate
36UDHS,Spofforth with Lower Wharfedale
36UDHT,Starbeck
36UDHU,Stray
36UDHW,Washburn
36UDHX,Wathvale
36UDHY,Woodfield
36UEGD,Addlebrough
36UEGE,Barton
36UEGF,Bolton Castle
36UEGG,Brompton-on-Swale and Scorton
36UEGH,Catterick
36UEGJ,Colburn
36UEGK,Croft
36UEGL,Gilling West
36UEGM,Hawes and High Abbotside
36UEGN,Hipswell
36UEGP,Hornby Castle
36UEGQ,Leyburn
36UEGR,Lower Wensleydale
36UEGS,Melsonby
36UEGT,Middleham
36UEGU,Middleton Tyas
36UEGW,Newsham with Eppleby
36UEGX,Penhill
36UEGY,Reeth and Arkengarthdale
36UEGZ,Richmond Central
36UEHA,Richmond East
36UEHB,Richmond West
36UEHC,Scotton
36UEHD,Swaledale
36UFGF,Amotherby
36UFGG,Ampleforth
36UFGH,Cropton
36UFGJ,Dales
36UFGK,Derwent
36UFGL,Helmsley
36UFGM,Hovingham
36UFGN,Kirkbymoorside
36UFGP,Malton
36UFGQ,Norton East
36UFGR,Norton West
36UFGS,Pickering East
36UFGT,Pickering West
36UFGU,Rillington
36UFGW,Ryedale South West
36UFGX,Sherburn
36UFGY,Sheriff Hutton
36UFGZ,Sinnington
36UFHA,Thornton Dale
36UFHB,Wolds
36UGFZ,Castle
36UGGA,Cayton
36UGGB,Central
36UGGC,Danby
36UGGD,Derwent Valley
36UGGE,Eastfield
36UGGF,Esk Valley
36UGGG,Falsgrave Park
36UGGH,Filey
36UGGJ,Fylingdales
36UGGK,Hertford
36UGGL,Lindhead
36UGGM,Mayfield
36UGGN,Mulgrave
36UGGP,Newby
36UGGQ,North Bay
36UGGR,Northstead
36UGGS,Ramshill
36UGGT,"Scalby, Hackness and Staintondale"
36UGGU,Seamer
36UGGW,Stepney
36UGGX,Streonshalh
36UGGY,Weaponness
36UGGZ,Whitby West Cliff
36UGHA,Woodlands
36UHGN,Appleton Roebuck
36UHGP,Barlby
36UHGQ,Brayton
36UHGR,Camblesforth
36UHGS,Cawood with Wistow
36UHGT,Eggborough
36UHGU,Fairburn with Brotherton
36UHGW,Hambleton
36UHGX,Hemingbrough
36UHGY,Monk Fryston and South Milford
36UHGZ,North Duffield
36UHHA,Riccall with Escrick
36UHHB,Saxton and Ulleskelf
36UHHC,Selby North
36UHHD,Selby South
36UHHE,Selby West
36UHHF,Sherburn in Elmet
36UHHG,Tadcaster East
36UHHH,Tadcaster West
36UHHJ,Whitley
37UBFR,Hucknall Central
37UBFS,Hucknall East
37UBFT,Hucknall North
37UBFU,Hucknall West
37UBFW,Jacksdale
37UBFX,Kirkby in Ashfield Central
37UBFY,Kirkby in Ashfield East
37UBFZ,Kirkby in Ashfield West
37UBGA,Selston
37UBGB,Sutton in Ashfield Central
37UBGC,Sutton in Ashfield East
37UBGD,Sutton in Ashfield North
37UBGE,Sutton in Ashfield West
37UBGF,Underwood
37UBGG,Woodhouse
37UCGE,Beckingham
37UCGF,Blyth
37UCGG,Carlton
37UCGH,Clayworth
37UCGJ,East Markham
37UCGK,East Retford East
37UCGL,East Retford North
37UCGM,East Retford South
37UCGN,East Retford West
37UCGP,Everton
37UCGQ,Harworth
37UCGR,Langold
37UCGS,Misterton
37UCGT,Rampton
37UCGU,Ranskill
37UCGW,Sturton
37UCGX,Sutton
37UCGY,Tuxford and Trent
37UCGZ,Welbeck
37UCHA,Worksop East
37UCHB,Worksop North
37UCHC,Worksop North East
37UCHD,Worksop North West
37UCHE,Worksop South
37UCHF,Worksop South East
37UDFY,Attenborough
37UDFZ,Awsworth
37UDGA,Beeston Central
37UDGB,Beeston North
37UDGC,Beeston Rylands
37UDGD,Beeston West
37UDGE,Bramcote
37UDGF,Brinsley
37UDGG,Chilwell East
37UDGH,Chilwell West
37UDGJ,Cossall and Kimberley
37UDGK,Eastwood North and Greasley (Beauvale)
37UDGL,Eastwood South
37UDGM,Greasley (Giltbrook and Newthorpe)
37UDGN,Nuthall East and Strelley
37UDGP,Nuthall West and Greasley (Watnall)
37UDGQ,Stapleford North
37UDGR,Stapleford South East
37UDGS,Stapleford South West
37UDGT,Toton and Chilwell Meadows
37UDGU,Trowell
37UEGB,Bestwood Village
37UEGC,Bonington
37UEGD,Burton Joyce and Stoke Bardolph
37UEGE,Calverton
37UEGF,Carlton
37UEGG,Carlton Hill
37UEGH,Daybrook
37UEGJ,Gedling
37UEGK,Killisick
37UEGL,Kingswell
37UEGM,Lambley
37UEGN,Mapperley Plains
37UEGP,Netherfield and Colwick
37UEGQ,Newstead
37UEGR,Phoenix
37UEGS,Porchester
37UEGT,Ravenshead
37UEGU,St James
37UEGW,St Marys
37UEGX,Valley
37UEGY,Woodborough
37UEGZ,Woodthorpe
37UFFU,Berry Hill
37UFFW,Birklands
37UFFX,Broomhill
37UFFY,Cumberlands
37UFFZ,Eakring
37UFGA,Forest Town East
37UFGB,Forest Town West
37UFGC,Grange Farm
37UFGD,Ladybrook
37UFGE,Leeming
37UFGF,Lindhurst
37UFGG,Meden
37UFGH,Oak Tree
37UFGJ,Pleasley Hill
37UFGK,Portland
37UFGL,Priory
37UFGM,Ravensdale
37UFGN,Robin Hood
37UFGP,Sherwood
37UGGH,Balderton North
37UGGJ,Balderton West
37UGGK,Beacon
37UGGL,Bilsthorpe
37UGGM,Blidworth
37UGGN,Boughton
37UGGP,Bridge
37UGGQ,Castle
37UGGR,Caunton
37UGGS,Clipstone
37UGGT,Collingham and Meering
37UGGU,Devon
37UGGW,Edwinstowe
37UGGX,Farndon
37UGGY,Farnsfield
37UGGZ,Lowdham
37UGHA,Magnus
37UGHB,Muskham
37UGHC,Ollerton
37UGHD,Rainworth
37UGHE,Southwell East
37UGHF,Southwell North
37UGHG,Southwell West
37UGHH,Sutton-on-Trent
37UGHJ,Trent
37UGHK,Winthorpe
37UJGG,Abbey
37UJGH,Bingham East
37UJGJ,Bingham West
37UJGK,Compton Acres
37UJGL,Cotgrave
37UJGM,Cranmer
37UJGN,Edwalton Village
37UJGP,Gamston
37UJGQ,Gotham
37UJGR,Keyworth North
37UJGS,Keyworth South
37UJGT,Lady Bay
37UJGU,Leake
37UJGW,Lutterell
37UJGX,Manvers
37UJGY,Melton
37UJGZ,Musters
37UJHA,Nevile
37UJHB,Oak
37UJHC,Ruddington
37UJHD,Soar Valley
37UJHE,Stanford
37UJHF,Thoroton
37UJHG,Tollerton
37UJHH,Trent
37UJHJ,Trent Bridge
37UJHK,Wiverton
37UJHL,Wolds
38UBGJ,Adderbury
38UBGK,Ambrosden and Chesterton
38UBGL,Banbury Calthorpe
38UBGM,Banbury Easington
38UBGN,Banbury Grimsbury and Castle
38UBGP,Banbury Hardwick
38UBGQ,Banbury Neithrop
38UBGR,Banbury Ruscote
38UBGS,Bicester East
38UBGT,Bicester North
38UBGU,Bicester South
38UBGW,Bicester Town
38UBGX,Bicester West
38UBGY,Bloxham and Bodicote
38UBGZ,Caversfield
38UBHA,Cropredy
38UBHB,Deddington
38UBHC,Fringford
38UBHD,Hook Norton
38UBHE,Kidlington North
38UBHF,Kidlington South
38UBHG,Kirtlington
38UBHH,Launton
38UBHJ,Otmoor
38UBHK,Sibford
38UBHL,The Astons and Heyfords
38UBHM,Wroxton
38UBHN,"Yarnton, Gosford and Water Eaton"
38UCFT,Barton and Sandhills
38UCFU,Blackbird Leys
38UCFW,Carfax
38UCFX,Churchill
38UCFY,Cowley
38UCFZ,Cowley Marsh
38UCGA,Headington
38UCGB,Headington Hill and Northway
38UCGC,Hinksey Park
38UCGD,Holywell
38UCGE,Iffley Fields
38UCGF,Jericho and Osney
38UCGG,Littlemore
38UCGH,Lye Valley
38UCGJ,Marston
38UCGK,North
38UCGL,Northfield Brook
38UCGM,Quarry and Risinghurst
38UCGN,Rose Hill and Iffley
38UCGP,St Clement's
38UCGQ,St Margaret's
38UCGR,St Mary's
38UCGS,Summertown
38UCGT,Wolvercote
38UDGK,Aston Rowant
38UDGL,Benson
38UDGM,Berinsfield
38UDGN,Brightwell
38UDGP,Chalgrove
38UDGQ,Chiltern Woods
38UDGR,Chinnor
38UDGS,Cholsey and Wallingford South
38UDGT,Crowmarsh
38UDGU,Didcot All Saints
38UDGW,Didcot Ladygrove
38UDGX,Didcot Northbourne
38UDGY,Didcot Park
38UDGZ,Forest Hill and Holton
38UDHA,Garsington
38UDHB,Goring
38UDHC,Great Milton
38UDHD,Hagbourne
38UDHE,Henley North
38UDHF,Henley South
38UDHG,Sandford
38UDHH,Shiplake
38UDHJ,Sonning Common
38UDHK,Thame North
38UDHL,Thame South
38UDHM,Wallingford North
38UDHN,Watlington
38UDHP,Wheatley
38UDHQ,Woodcote
38UEGJ,Abingdon Abbey and Barton
38UEGK,Abingdon Caldecott
38UEGL,Abingdon Dunmore
38UEGM,Abingdon Fitzharris
38UEGN,Abingdon Northcourt
38UEGP,Abingdon Ock Meadow
38UEGQ,Abingdon Peachcroft
38UEGR,Appleton and Cumnor
38UEGS,Blewbury and Upton
38UEGT,Craven
38UEGU,Drayton
38UEGW,Faringdon and The Coxwells
38UEGX,Greendown
38UEGY,Grove
38UEGZ,Hanneys
38UEHA,Harwell
38UEHB,Hendreds
38UEHC,Kennington and South Hinksey
38UEHD,Kingston Bagpuize with Southmoor
38UEHE,Longworth
38UEHF,Marcham and Shippon
38UEHG,North Hinksey and Wytham
38UEHH,Radley
38UEHJ,Shrivenham
38UEHK,Stanford
38UEHL,Sunningwell and Wootton
38UEHM,Sutton Courtenay and Appleford
38UEHN,Wantage Charlton
38UEHP,Wantage Segsbury
38UFGL,Alvescot and Filkins
38UFGM,Ascott and Shipton
38UFGN,Bampton and Clanfield
38UFGP,Brize Norton and Shilton
38UFGQ,Burford
38UFGR,Carterton North East
38UFGS,Carterton North West
38UFGT,Carterton South
38UFGU,Chadlington and Churchill
38UFGW,Charlbury and Finstock
38UFGX,Chipping Norton
38UFGY,Ducklington
38UFGZ,Eynsham and Cassington
38UFHA,Freeland and Hanborough
38UFHB,"Hailey, Minster Lovell and Leafield"
38UFHC,"Kingham, Rollright and Enstone"
38UFHD,Milton-under-Wychwood
38UFHE,North Leigh
38UFHF,"Standlake, Aston and Stanton Harcourt"
38UFHG,Stonesfield and Tackley
38UFHH,The Bartons
38UFHJ,Witney Central
38UFHK,Witney East
38UFHL,Witney North
38UFHM,Witney South
38UFHN,Witney West
38UFHP,Woodstock and Bladon
39UBFX,Albrighton South
39UBFY,Alveley
39UBFZ,Bridgnorth Castle
39UBGA,Bridgnorth East
39UBGB,Bridgnorth Morfe
39UBGC,Bridgnorth West
39UBGD,Broseley East
39UBGE,Broseley West
39UBGF,Claverley
39UBGG,Ditton Priors
39UBGH,Donington and Albrighton North
39UBGJ,Glazeley
39UBGK,Harrington
39UBGL,Highley
39UBGM,Morville
39UBGN,Much Wenlock
39UBGP,Shifnal Idsall
39UBGQ,Shifnal Manor
39UBGR,Shifnal Rural
39UBGS,Stottesdon
39UBGT,Worfield
39UCGD,Baschurch
39UCGE,Clive and Myddle
39UCGF,Cockshutt
39UCGG,Dudleston Heath
39UCGH,Ellesmere and Welshampton
39UCGJ,Hinstock
39UCGK,Hodnet
39UCGL,"Hordley, Tetchill and Lyneal"
39UCGM,Market Drayton East
39UCGN,Market Drayton North
39UCGP,Market Drayton South
39UCGQ,Prees
39UCGR,Shavington
39UCGS,Shawbury
39UCGT,Sutton
39UCGU,Wem East
39UCGW,Wem Rural
39UCGX,Wem West
39UCGY,Whitchurch North
39UCGZ,Whitchurch Rural
39UCHA,Whitchurch South
39UCHB,Whitchurch West
39UCHC,Whixhall
39UCHD,Woore
39UDFR,Cabin Lane
39UDFS,Cambrian
39UDFT,Carreg Llwyd
39UDFU,Castle
39UDFW,Gatacre
39UDFX,Gobowen
39UDFY,Kinnerley
39UDFZ,Llanyblodwel and Pant
39UDGA,Maserfield
39UDGB,Ruyton and West Felton
39UDGC,St. Martin's
39UDGD,Sweeney and Trefonen
39UDGE,Weston Rhyn
39UDGF,Whittington
39UEFZ,Bagley
39UEGA,Battlefield and Heathgates
39UEGB,Bayston Hill
39UEGC,Belle Vue
39UEGD,Bowbrook
39UEGE,Castlefields and Quarry
39UEGF,Column
39UEGG,Condover
39UEGH,Copthorne
39UEGJ,Hanwood and Longden
39UEGK,Harlescott
39UEGL,Haughmond and Attingham
39UEGM,Lawley
39UEGN,Meole Brace
39UEGP,Monkmoor
39UEGQ,Montford
39UEGR,Pimhill
39UEGS,Porthill
39UEGT,Rea Valley
39UEGU,Rowton
39UEGW,Severn Valley
39UEGX,Sundorne
39UEGY,Sutton and Reabrook
39UEGZ,Underdale
39UFGF,Apedale
39UFGG,Bishop's Castle with Onny Valley
39UFGH,Bitterley with Stoke St Milborough
39UFGJ,Bucknell
39UFGK,Burford
39UFGL,Caynham with Ashford
39UFGM,Chirbury
39UFGN,Church Stretton North
39UFGP,Church Stretton South
39UFGQ,Clee
39UFGR,Cleobury Mortimer
39UFGS,Clun
39UFGT,Clun Forest
39UFGU,Corve Valley
39UFGW,Kemp Valley
39UFGX,Ludlow Henley
39UFGY,Ludlow St Laurence's
39UFGZ,Ludlow St Peter's
39UFHA,Ludlow Sheet with Ludford
39UFHB,Stokesay
39UFHC,Upper Corvedale
39UFHD,Wistanstow with Hopesay
39UFHE,Worthen
40UBGK,Ashwick and Ston Easton
40UBGL,Avalon
40UBGM,Beacon
40UBGN,Beckington and Rode
40UBGP,Chilcompton
40UBGQ,Coleford
40UBGR,Creech
40UBGS,Frome Berkley Down
40UBGT,Frome Fromefield
40UBGU,Frome Keyford
40UBGW,Frome Park
40UBGX,Frome Welshmill
40UBGY,Glastonbury St Benedict's
40UBGZ,Glastonbury St Edmund's
40UBHA,Glastonbury St John's
40UBHB,Glastonbury St Mary's
40UBHC,Knowle
40UBHD,Mells
40UBHE,Moor
40UBHF,Nedge
40UBHG,Nordinton
40UBHH,Postlebury
40UBHJ,Pylcombe
40UBHK,Rodney and Priddy
40UBHL,St Cuthbert (Out) North and West
40UBHM,Shepton East
40UBHN,Shepton West
40UBHP,Stratton
40UBHQ,Street North
40UBHR,Street South
40UBHS,Street West
40UBHT,Vale
40UBHU,Wells Central
40UBHW,Wells St Cuthbert's
40UBHX,Wells St Thomas'
40UCGJ,Axbridge
40UCGK,Axe Vale
40UCGL,Berrow
40UCGM,Brent North
40UCGN,Bridgwater Bower
40UCGP,Bridgwater Eastover
40UCGQ,Bridgwater Hamp
40UCGR,Bridgwater Quantock
40UCGS,Bridgwater Sydenham
40UCGT,Bridgwater Victoria
40UCGU,Burnham North
40UCGW,Burnham South
40UCGX,Cannington and Quantocks
40UCGY,Cheddar and Shipham
40UCGZ,East Poldens
40UCHA,Highbridge
40UCHB,Huntspill and Pawlett
40UCHC,King's Isle
40UCHD,Knoll
40UCHE,North Petherton
40UCHF,Puriton
40UCHG,Sandford
40UCHH,Wedmore and Mark
40UCHJ,West Poldens
40UCHK,Woolavington
40UDJP,Blackdown
40UDJQ,Blackmoor Vale
40UDJR,Bruton
40UDJS,Brympton
40UDJT,Burrow Hill
40UDJU,Camelot
40UDJW,Cary
40UDJX,Chard Avishayes
40UDJY,Chard Combe
40UDJZ,Chard Crimchard
40UDKA,Chard Holyrood
40UDKB,Chard Jocelyn
40UDKC,Coker
40UDKD,Crewkerne
40UDKE,Curry Rivel
40UDKF,Eggwood
40UDKG,Hamdon
40UDKH,Ilminster
40UDKJ,Islemoor
40UDKK,Ivelchester
40UDKL,Langport and Huish
40UDKM,Martock
40UDKN,Milborne Port
40UDKP,Neroche
40UDKQ,Northstone
40UDKR,Parrett
40UDKS,St Michael's
40UDKT,South Petherton
40UDKU,Tatworth and Forton
40UDKW,Tower
40UDKX,Turn Hill
40UDKY,Wessex
